,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
45,"Overbrook, Forbes, Manor Park, Viscount Alexander Park, Finter Quarries",45.43949509999999,-75.64218170000001,The Beer Store,45.4418187,-75.6447664,Beer Store
46,"Overbrook, Forbes, Manor Park, Viscount Alexander Park, Finter Quarries",45.43949509999999,-75.64218170000001,Farm Boy,45.44255263329308,-75.64456275787926,Grocery Store
47,"Overbrook, Forbes, Manor Park, Viscount Alexander Park, Finter Quarries",45.43949509999999,-75.64218170000001,Hess' Your Independent Grocer,45.441017,-75.643785,Grocery Store
48,"Overbrook, Forbes, Manor Park, Viscount Alexander Park, Finter Quarries",45.43949509999999,-75.64218170000001,TD Canada Trust,45.4408791,-75.6443909,Bank
49,"Overbrook, Forbes, Manor Park, Viscount Alexander Park, Finter Quarries",45.43949509999999,-75.64218170000001,Shoppers Drug Mart,45.44182,-75.646244,Pharmacy
50,"Overbrook, Forbes, Manor Park, Viscount Alexander Park, Finter Quarries",45.43949509999999,-75.64218170000001,McDonald's,45.44186450294266,-75.64348420296136,Fast Food Restaurant
51,"Overbrook, Forbes, Manor Park, Viscount Alexander Park, Finter Quarries",45.43949509999999,-75.64218170000001,RBC Royal Bank,45.44247797352313,-75.6440829555986,Bank
52,"Overbrook, Forbes, Manor Park, Viscount Alexander Park, Finter Quarries",45.43949509999999,-75.64218170000001,Tim Hortons,45.442238366834815,-75.64476370811462,Coffee Shop
53,"Overbrook, Forbes, Manor Park, Viscount Alexander Park, Finter Quarries",45.43949509999999,-75.64218170000001,Harvey's,45.44305028287148,-75.63978630129452,Restaurant
54,"Overbrook, Forbes, Manor Park, Viscount Alexander Park, Finter Quarries",45.43949509999999,-75.64218170000001,Swiss Chalet,45.44103004871579,-75.64556734177057,Restaurant
55,"Overbrook, Forbes, Manor Park, Viscount Alexander Park, Finter Quarries",45.43949509999999,-75.64218170000001,Greek on Wheels,45.44274687513092,-75.64459747190243,Greek Restaurant
56,Beaverbrook / South March,45.3430362,-75.90259619999998,Big Rig Brewery Kanata,45.33981747977253,-75.9014853191863,Brewery
57,Beaverbrook / South March,45.3430362,-75.90259619999998,Crossfit Closer,45.33986762988465,-75.90110587205132,Gym / Fitness Center
58,Beaverbrook / South March,45.3430362,-75.90259619999998,Small Pony Barrel Works,45.339499818921674,-75.90210556983948,Brewery
59,Beaverbrook / South March,45.3430362,-75.90259619999998,Elite Dance Studio,45.33919808852315,-75.90234039571256,Dance Studio
60,Beaverbrook / South March,45.3430362,-75.90259619999998,Greco Lean+Fit,45.339086270584076,-75.90366753300044,Gym / Fitness Center
61,Beaverbrook / South March,45.3430362,-75.90259619999998,La Maison du Kouign-Amann,45.33877,-75.901874,Bakery
62,"Vanier, McKay Lake area",45.439943400000004,-75.66446429999998,Bobbys Table,45.43642468540897,-75.66098561198999,Diner
63,"Vanier, McKay Lake area",45.439943400000004,-75.66446429999998,Great Canadian Poutinerie,45.43664974865869,-75.66480569539316,Poutine Place
64,"Vanier, McKay Lake area",45.439943400000004,-75.66446429999998,LCBO,45.43580617595972,-75.66214300455988,Liquor Store
65,"Vanier, McKay Lake area",45.439943400000004,-75.66446429999998,Cash Money,45.437354962557684,-75.65978988655169,Financial or Legal Service
66,Rockcliffe Park / New Edinburgh,45.446763700000005,-75.68027099999998,Lindenlea Park,45.444749765607455,-75.67652659697015,Park
67,Bridlewood,45.294218,-75.85694409999998,The Works Gourmet Burger Bistro,45.291932,-75.857198,Restaurant
